Course Number,CRN,Type,Section,Time,Days,Location,Instructor
MATH 231,56986,Discussion,ADU,03:00 PM - 03:50 PM,TR,137 - Henry Administration Bldg,
MATH 231,58987,Discussion,BDA,08:00 AM - 08:50 AM,TR,327 - Gregory Hall,
MATH 231,48130,Discussion,BDB,09:00 AM - 09:50 AM,TR,113 - David Kinley Hall,
MATH 231,56757,Discussion,BDS,02:00 PM - 02:50 PM,TR,1028 - Lincoln Hall,
MATH 231,52789,Discussion,BDT,03:00 PM - 03:50 PM,TR,1028 - Lincoln Hall,
MATH 231,46898,Discussion,BDU,04:00 PM - 04:50 PM,TR,106 - David Kinley Hall,
MATH 231,46881,Discussion,EDA,08:00 AM - 08:50 AM,TR,"1030 - Literatures, Cultures, & Ling",
MATH 231,46861,Discussion,EDB,09:00 AM - 09:50 AM,TR,430 - Armory,
MATH 231,46862,Discussion,EDC,10:00 AM - 10:50 AM,TR,311 - Gregory Hall,
MATH 231,50605,Discussion,EDD,11:00 AM - 11:50 AM,TR,206 - David Kinley Hall,
MATH 231,49233,Discussion,EDF,01:00 PM - 01:50 PM,TR,"G36 - Literatures, Cultures, & Ling",
MATH 231,46868,Discussion,EDG,02:00 PM - 02:50 PM,TR,"G36 - Literatures, Cultures, & Ling",
MATH 231,46877,Discussion,EDH,03:00 PM - 03:50 PM,TR,"G36 - Literatures, Cultures, & Ling",
MATH 231,46882,Discussion,EDJ,10:00 AM - 10:50 AM,TR,144 - Armory,
MATH 231,46864,Discussion,EDK,11:00 AM - 11:50 AM,TR,219 - David Kinley Hall,
MATH 231,50606,Discussion,EDL,12:00 PM - 12:50 PM,TR,206 - David Kinley Hall,
MATH 231,46888,Discussion,EDM,01:00 PM - 01:50 PM,TR,215 - David Kinley Hall,
MATH 231,46883,Discussion,EDN,02:00 PM - 02:50 PM,TR,206 - David Kinley Hall,
MATH 231,46896,Discussion,EDO,09:00 AM - 09:50 AM,TR,311 - Gregory Hall,
MATH 231,46889,Discussion,EDP,04:00 PM - 04:50 PM,TR,206 - David Kinley Hall,
